time,wind_speed,wind_dir,wd_cat
2023-06-20 18:00:00,6,109,E
2023-06-20 19:00:00,6,103,E
2023-06-20 20:00:00,6,94,E
2023-06-20 21:00:00,6,89,E
2023-06-20 22:00:00,6,94,E
2023-06-20 23:00:00,6,91,E
2023-06-21 00:00:00,8,83,E
2023-06-21 01:00:00,7,72,E
2023-06-21 02:00:00,6,71,E
2023-06-21 03:00:00,5,82,E
2023-06-21 04:00:00,6,88,E
2023-06-21 05:00:00,6,90,E
2023-06-21 06:00:00,5,102,E
2023-06-21 07:00:00,5,116,SE
2023-06-21 08:00:00,5,115,SE
2023-06-21 09:00:00,6,106,E
2023-06-21 10:00:00,4,107,E
2023-06-21 11:00:00,3,113,SE
2023-06-21 12:00:00,4,109,E
2023-06-21 13:00:00,3,113,SE
2023-06-21 14:00:00,3,115,SE
2023-06-21 15:00:00,3,103,E
2023-06-21 16:00:00,3,98,E
2023-06-21 17:00:00,2,83,E
2023-06-21 18:00:00,2,72,E
2023-06-21 19:00:00,2,54,NE
2023-06-21 20:00:00,1,77,E
2023-06-21 21:00:00,1,112,E
2023-06-21 22:00:00,2,56,NE
2023-06-21 23:00:00,2,61,NE
2023-06-22 00:00:00,2,30,NE
2023-06-22 01:00:00,3,22,N
2023-06-22 02:00:00,1,27,NE
2023-06-22 03:00:00,1,350,N
2023-06-22 04:00:00,0,282,W
2023-06-22 05:00:00,1,181,S
2023-06-22 06:00:00,2,201,S
2023-06-22 07:00:00,3,213,SW
2023-06-22 08:00:00,4,218,SW
2023-06-22 09:00:00,5,223,SW
2023-06-22 10:00:00,5,215,SW
2023-06-22 11:00:00,6,219,SW
2023-06-22 12:00:00,7,219,SW
2023-06-22 13:00:00,6,219,SW
2023-06-22 14:00:00,7,219,SW
2023-06-22 15:00:00,7,221,SW
2023-06-22 16:00:00,8,219,SW
2023-06-22 17:00:00,8,215,SW
2023-06-22 18:00:00,8,210,SW
2023-06-22 19:00:00,8,205,SW
2023-06-22 20:00:00,9,203,SW
2023-06-22 21:00:00,10,199,S
2023-06-22 22:00:00,10,188,S
2023-06-22 23:00:00,10,187,S
2023-06-23 00:00:00,10,186,S
2023-06-23 01:00:00,9,183,S
2023-06-23 02:00:00,9,181,S
2023-06-23 03:00:00,9,178,S
2023-06-23 04:00:00,9,177,S
2023-06-23 05:00:00,9,176,S
2023-06-23 06:00:00,8,176,S
2023-06-23 07:00:00,7,174,S
2023-06-23 08:00:00,7,177,S
2023-06-23 09:00:00,6,184,S
2023-06-23 10:00:00,4,179,S
2023-06-23 11:00:00,4,198,S
2023-06-23 12:00:00,3,216,SW
2023-06-23 13:00:00,3,223,SW
2023-06-23 14:00:00,4,228,SW
2023-06-23 15:00:00,4,229,SW
2023-06-23 16:00:00,5,225,SW
2023-06-23 17:00:00,4,223,SW
2023-06-23 18:00:00,5,220,SW
2023-06-23 19:00:00,5,221,SW
2023-06-23 20:00:00,5,220,SW
2023-06-23 21:00:00,5,213,SW
2023-06-23 22:00:00,5,214,SW
2023-06-23 23:00:00,5,211,SW
2023-06-24 00:00:00,5,209,SW
2023-06-24 01:00:00,5,206,SW
2023-06-24 02:00:00,6,203,SW
2023-06-24 03:00:00,8,193,S
2023-06-24 04:00:00,9,192,S
2023-06-24 05:00:00,8,197,S
2023-06-24 06:00:00,9,201,S
2023-06-24 07:00:00,9,203,SW
2023-06-24 08:00:00,9,204,SW
2023-06-24 09:00:00,9,204,SW
2023-06-24 10:00:00,9,214,SW
2023-06-24 11:00:00,8,213,SW
2023-06-24 12:00:00,8,212,SW
2023-06-24 13:00:00,8,212,SW
2023-06-24 14:00:00,8,213,SW
2023-06-24 15:00:00,8,211,SW
2023-06-24 16:00:00,9,209,SW
2023-06-24 17:00:00,9,206,SW
2023-06-24 18:00:00,8,205,SW
2023-06-24 19:00:00,8,202,S
2023-06-24 20:00:00,7,199,S
2023-06-24 21:00:00,7,193,S
2023-06-24 22:00:00,7,196,S
2023-06-24 23:00:00,6,193,S
2023-06-25 00:00:00,6,191,S
2023-06-25 01:00:00,6,191,S
2023-06-25 02:00:00,6,193,S
2023-06-25 03:00:00,7,192,S
2023-06-25 04:00:00,7,192,S
2023-06-25 05:00:00,8,192,S
2023-06-25 06:00:00,9,195,S
2023-06-25 07:00:00,10,198,S
2023-06-25 08:00:00,9,199,S
2023-06-25 09:00:00,9,201,S
2023-06-25 10:00:00,9,203,SW
2023-06-25 11:00:00,8,202,S
2023-06-25 12:00:00,8,207,SW
2023-06-25 13:00:00,7,211,SW
2023-06-25 14:00:00,7,215,SW
2023-06-25 15:00:00,7,216,SW
2023-06-25 16:00:00,7,216,SW
2023-06-25 17:00:00,7,214,SW
2023-06-25 18:00:00,7,214,SW
2023-06-25 19:00:00,7,214,SW
2023-06-25 20:00:00,7,214,SW
2023-06-25 21:00:00,6,210,SW
2023-06-25 22:00:00,7,203,SW
2023-06-25 23:00:00,8,205,SW
2023-06-26 00:00:00,8,206,SW
2023-06-26 01:00:00,7,208,SW
2023-06-26 02:00:00,7,209,SW
2023-06-26 03:00:00,7,206,SW
2023-06-26 04:00:00,7,202,S
2023-06-26 05:00:00,7,197,S
2023-06-26 06:00:00,7,197,S
2023-06-26 07:00:00,8,197,S
2023-06-26 08:00:00,8,198,S
2023-06-26 09:00:00,8,200,S
2023-06-26 10:00:00,8,200,S
2023-06-26 11:00:00,8,198,S
2023-06-26 12:00:00,8,198,S
2023-06-26 13:00:00,8,199,S
2023-06-26 14:00:00,8,202,S
2023-06-26 15:00:00,8,206,SW
2023-06-26 16:00:00,8,208,SW
2023-06-26 17:00:00,8,211,SW
2023-06-26 18:00:00,7,211,SW
2023-06-26 19:00:00,7,210,SW
2023-06-26 20:00:00,6,209,SW
2023-06-26 21:00:00,5,210,SW
2023-06-26 22:00:00,4,224,SW
2023-06-26 23:00:00,4,219,SW
2023-06-27 00:00:00,5,222,SW
2023-06-27 01:00:00,4,207,SW
2023-06-27 02:00:00,5,185,S
2023-06-27 03:00:00,5,180,S
2023-06-27 04:00:00,4,182,S
2023-06-27 05:00:00,4,184,S
2023-06-27 06:00:00,4,193,S
2023-06-27 07:00:00,5,208,SW
2023-06-27 08:00:00,6,219,SW
2023-06-27 09:00:00,5,232,SW
2023-06-27 10:00:00,5,283,W
2023-06-27 11:00:00,4,288,W
2023-06-27 12:00:00,6,257,W
2023-06-27 13:00:00,7,250,W
2023-06-27 14:00:00,8,251,W
2023-06-27 15:00:00,8,251,W
2023-06-27 16:00:00,8,254,W
2023-06-27 17:00:00,7,269,W
2023-06-27 18:00:00,8,272,W
